N	F1	F2	F3	F4	F5	AUC1	AUC3	AUC5	AUC10
1879.0	54.0	2456.0	71.0	617.0	550.0	0.5209	0.5477	0.5703	0.611
1878.0	54.0	2456.0	71.0	617.0	550.0	0.5209	0.5477	0.5703	0.611
1877.0	54.0	2456.0	71.0	617.0	550.0	0.5209	0.5477	0.5703	0.611
1876.0	54.0	2456.0	71.0	617.0	550.0	0.5209	0.5477	0.5703	0.611
1875.0	54.0	2456.0	71.0	617.0	550.0	0.5209	0.5477	0.5703	0.611
1874.0	54.0	2456.0	71.0	617.0	550.0	0.5209	0.5477	0.5703	0.611
1873.0	54.0	2456.0	71.0	617.0	550.0	0.5209	0.5477	0.5703	0.611
1872.0	54.0	2456.0	71.0	617.0	550.0	0.5209	0.5477	0.5703	0.611
1871.0	54.0	2456.0	71.0	617.0	550.0	0.5209	0.5477	0.5703	0.611
1870.0	54.0	2456.0	71.0	617.0	550.0	0.5209	0.5477	0.5703	0.611
